Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
wqbc,104,2318,0
BC-Policy-Framework-For-GitHub,20,2245,0
bcgroundwater,19,2230,0
groundwater-levels-indicator,12,2230,0
ckanext-googleanalytics,0,2200,0
ckanext-hierarchy,0,2200,0
ckanext-ga-report,0,2200,0
EnvReportBC,3,2188,0
envreportutils,12,2188,0
CSB-eFile,0,2182,0
ckanext-bcgov,462,2167,0
bcmaps,51,2150,0
dbcrss,5,2141,0
bc-laws-api,4,2091,0
rcaaqs,42,2071,0
ozone-caaqs-indicator,6,2071,0
pm25-caaqs-indicator,6,2071,0
esm-server,1,1988,0
datapusher,0,1980,0
ltema,2,1980,0
bearmon,2,1980,0
openconsult,7,1953,0
protected-lands-and-waters-indicator,4,1931,0
BCDevExchange-app,0,1930,0
bc-population-indicator,3,1904,0
data-fp,12,1881,0
nrs-sparx-automation,2,1878,0
playbook,0,1876,0
govHackServiceCatalogue,0,1875,0
guides,0,1873,0
pages,0,1870,0
guides-template,0,1869,0
DBC-APIM,106,1869,0
cpf,67,1867,0
drivebc-webcam-api,2,1862,0
databc-web-map-services,4,1860,0
agile-guide,2,1856,0
digital-toolkit,16,1856,0
eba-guide,3,1854,0
bcdc-devops,3,1847,0
data-fp-features,5,1846,0
issue-aggregator,3,1846,0
api-specs,335,1821,0
DevEx-Roadmap,9,1798,0
interactive-infographic,8,1789,0
service-patterns,4,1786,0
piwik,0,1776,0
Gov-2.0-Bootstrap-Skeleton,12,1747,0
ckan,0,1736,0
PMO-Database,2,1735,0
rems,45,1733,0
ckanext-geoview,0,1721,0
agile-labor-categories,0,1720,0
FGDB-Standards-Tools,4,1706,0
ghg-emissions-indicator,3,1705,0
ols-devkit,136,1705,0
MyGovBC-core-server,0,1696,0
MyGovBC-core-client,0,1696,0
MyGovBC-core-headerFooterService,2,1696,0
MyGovBC-notification-server,42,1696,0
MyGovBC-widget-sharedservices-foodsafe,2,1696,0
MyGovBC-widget-info-template,2,1696,0
BCStats,5,1692,0
WES-engagement-states,25,1692,0
simple-R-shiny,16,1687,0
land-designations-indicator,4,1685,0
land-designations-shinyapp,26,1685,0
envreportbc-snippets,2,1681,0
climate-change-indicators-2015,3,1677,0
tire-recycling-indicator,4,1674,0
invasive-species-indicator,2,1672,0
update-VRI-volumes,4,1671,0
cccharts,41,1670,0
mygovbc,3,1667,0
WES-demographic-profile,4,1664,0
eDivorce,0,1657,0
designatedlands,63,1656,0
mygovbc-nginx,2,1651,0
mygovbc-foodsafe-nginx,2,1651,0
water-quality-analysis,24,1644,0
SecurityAwareness,2,1644,0
MyGovBC-MSP,0,1636,0
smtp-om-core,2,1636,0
schoolbus-orig,1,1629,0
schoolbus,5,1629,0
burn-severity,5,1624,0
housing-data-visualization-project,7,1618,0
ckanext-openapiviewer,12,1617,0
BC-demography,6,1610,0
smtp-om-cas-common,4,1604,0
HelloSimon_Web,0,1603,0
slack-dev-bot-BCGov,2,1600,0
Mock-Server,2,1596,0
Swagger-Editor,3,1596,0
SchemaSpy,3,1596,0
streamflow-trends-on-multi-stats,0,1590,0
Swagger-Codegen-Extension,3,1586,0
career-survey,2,1567,0
mygovbc-foodsafe,2,1567,0
hets,3,1566,0
MyGovBC-MSP-Service,2,1559,0
gwa,58,1559,0
jxon,0,1556,0
batch-pdf-reports,3,1554,0
R-presentation,3,1547,0
tfrs,728,1546,0
fabric.js,0,1546,0
MyGovBC-CAPTCHA-Service,5,1546,0
MyGovBC-CAPTCHA-Widget,5,1546,0
BCWaterDischargeAnalysis,3,1541,0
