Repository,DaysOpen,IssueCount,PrCount,CommitCount,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName,Languages
openshift-workshop,1905,30,0,5,0.02,0,0,master,
gigles,1905,0,2,9,0,0,0,master,JavaScript
templates,1890,0,0,20,0,0,0.01,master,
openshift-components,1886,18,40,374,0.01,0.02,0.2,master,Python_Groovy_Dockerfile_Shell
issues-and-solutions,1879,18,0,5,0.01,0,0,master,
meta-guide-docker,1877,0,0,2,0,0,0,master,
openopps-platform,1833,0,2,2942,0,0,1.6,dev,JavaScript_HTML_CSS_PLpgSQL
illr,1786,1,0,68,0,0,0.04,master,Python_HTML
shiftbot,1744,3,0,4,0,0,0,master,CoffeeScript_Batchfile_Shell
openshift-tools,1684,26,91,559,0.02,0.05,0.33,master,Python_Shell_JavaScript_Dockerfile_Go_PHP_Ruby_TypeScript_HTML_CSS
openshift-jee-sample,1667,0,0,6,0,0,0,master,HTML_Java_Shell
jee-wildfly-test,1667,0,0,10,0,0,0.01,master,Shell
s2i-nginx,1666,0,8,103,0,0,0.06,master,Shell_Groovy_Dockerfile_HTML_Makefile
s2i-nginx-example,1663,0,0,28,0,0,0.02,master,
nodejs-ex,1652,0,0,124,0,0,0.08,master,HTML_JavaScript_Shell
s2i-nginx-npm,1642,0,0,89,0,0,0.05,master,Shell_Nginx_HTML_Makefile
tree-model-bower,1597,0,0,6,0,0,0,master,
BCDevOps-Guide,1534,1,1,10,0,0,0.01,master,
pathfinder-jenkins,1494,0,0,4,0,0,0,master,
sonar-pipeline,1442,0,0,16,0,0,0.01,master,Java
pathfinder,1387,0,7,78,0,0.01,0.06,master,HTML_CSS_JavaScript_Shell
s2i-caddy,1386,3,5,24,0,0,0.02,master,Shell_Dockerfile_Groovy_Makefile
openshift-wiki,1322,33,42,300,0.02,0.03,0.23,master,Shell_CSS
exo-community,1283,0,0,58,0,0,0.05,master,Shell
opendev-template,1281,0,7,67,0,0.01,0.05,master,Shell
jenkins,1275,0,0,593,0,0,0.46,master,Shell_Smarty_Makefile
examples,1274,0,0,53,0,0,0.04,master,Java_Shell_HTML_Batchfile_CSS
openshift-templates,1274,0,0,17,0,0,0.01,master,
openshift-developer-tools,1255,2,136,337,0,0.11,0.27,master,Shell
minio-openshift,1249,3,3,30,0,0,0.02,master,Groovy_Dockerfile_Shell
BDDStack,1241,2,8,257,0,0.01,0.21,develop,Groovy_Dockerfile
owasp-zap-openshift,1204,0,1,46,0,0,0.04,master,Python_JavaScript_Shell
innovation-lab-projects,1197,3,1,3,0,0,0,master,
sonarqube,1192,12,20,127,0.01,0.02,0.11,master,Dockerfile_Shell
OWASP-ZAP,1186,0,0,3,0,0,0,master,
geb-mobile,1177,0,0,91,0,0,0.08,master,Groovy_Gherkin_Shell
jenkins-pipeline-shared-lib,1176,2,5,62,0,0,0.05,master,Groovy
rhsso-examples,1052,0,5,7,0,0,0.01,master,JavaScript_Groovy_CSS_HTML_Shell
pathfinder-static-web-pages,1051,0,0,7,0,0,0.01,master,HTML
certbot,1024,6,5,36,0.01,0,0.04,master,Shell_Dockerfile
ocp-cd-pipeline,1010,2,5,22,0,0,0.02,master,Groovy_Shell
keycloak-admin,974,5,33,201,0.01,0.03,0.21,master,Jinja_JavaScript_Shell_Python_Dockerfile
developer-platform,969,0,2,32,0,0,0.03,master,
